
Testname;#users;DS;HE;RE;Av. time to station (min);Av. time from orig to dest station (min);Av. time to final destination (min);Av. total time (min);# abandoned;# with 0 rental fails;# with 1 rental fails;# with 2 rental fails;# with 0 return fails;# with 1 return fails;# with 2 return fails;# with 3 return fails;# with 4 return fails;# with 5 return fails;# with 6 return fails;# with 7 return fails;# with 8 return fails;# with 9 return fails;# with 10 return fails;# with 11 return fails;# with 12 return fails;# with 13 return fails;# with 14 return fails;# with 15 return fails;# with 16 return fails;# with 17 return fails;# with 18 return fails
USER_INFORMED_AVAILABLE_RESOURCES0;14877;0.9969079787591585;0.9806916617073332;0.942308914162272;2.8206200975434337;10.11151866585755;3.0318713055986337;15.964010068999618;46;14572;226;33;14166;535;79;28;7;7;3;2;2;1;;1;;;;;;;
USER_OBEDIENT_AVAILABLE_RESOURCES0;14877;1.0;0.9932567766056883;0.9985904148207813;7.937613990275818;9.864069816943381;7.895701418296699;25.697385225515898;0;14783;87;7;14859;16;1;1;;;;;;;;;;;;;;;
USER_OBEDIENT_DISTANCE_RATIO0;14877;0.9994622571755059;0.9983885046666219;0.986400424572111;2.812691954177595;9.917314547044185;3.012512610128455;15.742519111350237;8;14849;16;4;14696;149;18;4;2;;;;;;;;;;;;;;
USER_OBEDIENT_DISTANCE_RESOURCES0;14877;0.9987228607918263;0.9993274145816519;0.9562363238512035;3.367882622156414;10.071480010768608;4.274801453762283;17.71416408668731;19;14848;10;;14290;489;61;7;9;1;;1;;;;;;;;;;;
USER_OBEDIENT_RESOURCES_RATIO0;14877;1.0;0.9914034386245502;0.9972516423113018;7.996275010642827;9.952790661199616;7.916438125966256;25.8655037978087;0;14753;119;5;14837;39;1;;;;;;;;;;;;;;;;
USER_OBEDIENT_SURROUNDING_AVAILABLE_RESOURCES0;14877;0.9988572964979499;0.9630589760207389;0.975577731092437;8.834647824136384;9.142151188873934;8.755812023328847;26.732611036339165;17;14333;484;43;14515;325;15;3;2;;;;;;;;;;;;;;
USER_OBEDIENT_SURROUNDING_DISTANCE_RESOURCES0;14877;0.9995294750285676;0.9925243625684155;0.9807413270017148;2.838269446312486;9.888471194799372;3.053207800941493;15.779948442053351;7;14763;102;5;14598;255;15;1;1;;;;;;;;;;;;;;
USER_UNINFORMED_AVAILABLE_RESOURCES0;14877;0.9858842508570276;0.9340848299579672;0.8260306375309755;2.8648939796822797;10.58929683416286;3.000170450671576;16.454361264516717;210;13887;525;255;13463;652;232;85;62;32;28;26;17;17;9;10;12;6;3;5;5;2;1

test;#stations;#stations with empty times;sum emptytimes all stations(min);average equilibrium dev. over all stations and total time (bikes)
USER_INFORMED_AVAILABLE_RESOURCES0;173;105;15672.516666666666;5.586184971098266
USER_OBEDIENT_AVAILABLE_RESOURCES0;173;24;192.91666666666666;2.063063583815028
USER_OBEDIENT_DISTANCE_RATIO0;173;45;2957.0666666666666;4.321329479768787
USER_OBEDIENT_DISTANCE_RESOURCES0;173;64;17006.883333333335;5.047861271676302
USER_OBEDIENT_RESOURCES_RATIO0;173;33;264.6666666666667;1.9938728323699426
USER_OBEDIENT_SURROUNDING_AVAILABLE_RESOURCES0;173;68;7629.483333333334;3.8566473988439327
USER_OBEDIENT_SURROUNDING_DISTANCE_RESOURCES0;173;97;9334.55;5.017687861271676
USER_UNINFORMED_AVAILABLE_RESOURCES0;173;104;16046.366666666667;5.553872832369942
