"id";"Time intervals";"Total time"
111;"68417-68734  69960-70459  72624-73048  73898-74718  75234-75335  77182-77786  78026-79742  82035-86399  ";8845
112;"";0
113;"73257-75396  ";2139
114;"";0
115;"";0
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"12260-24580  29310-29583  30091-30977  32054-35443  36340-37304  43379-44461  44898-44962  47029-47199  47869-48254  50064-50230  53247-54265  57804-58798  59190-59958  ";22479
122;"";0
123;"";0
124;"";0
125;"";0
126;"";0
127;"38696-38981  39468-39583  39933-40063  40579-40819  44488-45366  ";1648
128;"";0
129;"";0
130;"";0
131;"30928-30975  31419-32485  33005-33169  33611-33626  34213-34674  49318-50697  50994-51258  ";3396
132;"32424-33189  34901-35034  47333-48325  48509-49624  50807-53447  53646-55535  ";7534
133;"";0
134;"";0
135;"";0
136;"";0
137;"";0
138;"77495-79310  79544-80976  81528-83128  84538-85061  ";5370
139;"";0
140;"";0
141;"";0
142;"";0
143;"";0
144;"";0
145;"84769-86399  ";1630
146;"71208-71589  72093-72672  ";960
147;"";0
148;"";0
149;"";0
150;"";0
151;"";0
152;"71500-71641  73765-74132  ";508
153;"";0
154;"33756-34886  35192-36776  38874-39665  49698-49900  50965-50990  54563-55106  55388-55394  56748-57664  57735-58038  ";5500
155;"";0
156;"77142-77371  78488-78550  ";291
157;"82585-86399  ";3814
158;"";0
159;"36979-37655  38929-39147  41353-42000  42839-43063  43400-43832  ";2197
160;"67038-68746  73743-74848  ";2813
161;"";0
162;"73548-73889  74020-74266  ";587
163;"67092-67447  ";355
164;"69511-69742  70021-70070  70889-71541  75966-77038  78919-79526  ";2611
165;"11782-13358  85856-86399  ";2119
166;"";0
167;"49354-49430  51560-52343  ";859
168;"";0
169;"";0
170;"";0
171;"";0
172;"33664-34661  43536-44666  45439-48085  50854-50891  ";4810
173;"";0
