simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;4.383333333333334;7.3789699074074075;0;0;0;0;123;0;123;2
2;0.0;6.8068634259259255;0;0;0;0;44;0;53;2
3;94.08333333333333;4.781354166666667;0;0;0;0;101;1;101;0
4;0.0;3.085613425925926;0;0;0;0;56;0;44;0
5;137.78333333333333;9.07074074074074;0;0;0;0;43;1;36;0
6;29.233333333333334;4.719068287037037;0;0;0;0;114;0;119;0
7;22.616666666666667;7.6350694444444445;0;0;0;0;76;1;70;0
8;0.0;4.106626157407407;0;0;0;0;57;0;60;0
9;2.1;6.7031481481481485;0;0;0;0;129;0;137;2
10;14.783333333333333;6.640775462962963;0;0;0;0;65;0;77;0
11;229.36666666666667;6.9265625;0;0;0;0;44;4;45;0
12;0.0;6.221712962962963;0;0;0;0;76;0;66;0
13;0.0;3.5860648148148146;0;0;0;0;98;0;96;0
14;0.0;3.9388425925925925;0;0;0;0;82;0;76;0
15;0.0;4.5511689814814815;0;0;0;0;37;0;33;0
16;0.0;3.9586284722222222;0;0;0;0;72;0;67;0
17;26.583333333333332;3.9474363425925927;0;0;0;0;79;1;74;0
18;28.8;4.851608796296296;0;0;0;0;80;0;70;0
19;0.0;4.399120370370371;0;0;0;0;142;0;128;0
20;28.9;6.779710648148148;0;0;0;0;39;2;44;0
21;23.616666666666667;7.8585416666666665;0;0;0;0;86;1;81;0
25;0.0;4.485069444444444;0;0;0;0;65;0;62;0
26;6.333333333333333;3.9762962962962964;0;0;0;0;86;0;95;0
27;38.983333333333334;8.56261574074074;0;0;0;0;57;0;52;0
28;602.7666666666667;9.790138888888889;0;0;0;0;16;7;12;0
29;188.48333333333332;9.736539351851851;0;0;0;0;19;5;19;0
30;0.0;4.338726851851852;0;0;0;0;79;0;84;0
31;13.65;6.994340277777778;0;0;0;0;111;1;98;0
32;31.2;5.937777777777778;0;0;0;0;46;1;43;0
33;38.81666666666667;7.223032407407407;0;0;0;0;58;3;62;0
34;63.95;6.238547453703704;0;0;0;0;38;0;29;0
35;0.0;4.082158564814815;0;0;0;0;65;0;59;0
36;0.0;4.0636226851851855;0;0;0;0;45;0;39;0
38;0.0;6.5923032407407405;0;0;0;0;105;0;107;3
39;0.0;6.554756944444445;0;0;0;0;47;0;39;0
40;4.733333333333333;6.101458333333333;0;0;0;0;52;0;51;0
41;64.01666666666667;4.7732986111111115;0;0;0;0;99;3;112;0
42;92.03333333333333;5.225497685185185;0;0;0;0;92;3;83;0
43;15.033333333333333;6.568327546296296;0;0;0;0;166;2;155;0
44;148.16666666666666;6.374224537037037;0;0;0;0;62;2;64;0
45;0.0;4.451267361111111;0;0;0;0;134;0;130;1
46;0.0;7.048530092592593;0;0;0;0;104;0;101;0
47;212.4;5.358692129629629;0;0;0;0;77;2;62;0
48;4.583333333333333;5.397517361111111;0;0;0;0;88;1;84;0
49;0.0;3.4510243055555554;0;0;0;0;95;0;111;3
50;56.516666666666666;7.562175925925926;0;0;0;0;55;4;49;0
51;59.7;5.673715277777778;0;0;0;0;50;1;57;0
52;53.56666666666667;4.634942129629629;0;0;0;0;95;0;86;0
53;40.96666666666667;6.1737268518518515;0;0;0;0;68;2;82;0
54;0.0;4.854513888888889;0;0;0;0;80;0;88;0
55;0.0;4.595457175925926;0;0;0;0;73;0;83;0
56;0.0;5.833599537037037;0;0;0;0;87;0;89;0
57;42.28333333333333;5.878263888888889;0;0;0;0;154;1;172;2
58;13.416666666666666;5.382204861111111;0;0;0;0;144;0;136;3
59;87.86666666666666;6.465300925925926;0;0;0;0;128;1;116;2
60;0.0;8.006666666666666;0;0;0;0;62;0;68;0
61;462.65;8.600868055555555;0;0;0;0;25;0;22;0
62;17.6;3.9989930555555557;0;0;0;0;112;2;117;0
63;72.05;5.098709490740741;0;0;0;0;64;3;65;0
64;10.55;4.702928240740741;0;0;0;0;82;0;103;1
65;0.0;5.81792824074074;0;0;0;0;77;0;88;0
66;0.0;4.219803240740741;0;0;0;0;46;0;46;0
67;0.0;3.505023148148148;0;0;0;0;60;0;64;0
69;0.0;3.08900462962963;0;0;0;0;39;0;48;0
71;46.25;5.156331018518519;0;0;0;0;71;2;86;0
72;45.483333333333334;3.697795138888889;0;0;0;0;38;0;39;0
73;0.0;5.295862268518518;0;0;0;0;70;0;83;0
74;32.3;4.813263888888889;0;0;0;0;102;0;85;0
75;0.0;4.132824074074074;0;0;0;0;76;0;77;0
76;0.0;5.650474537037037;0;0;0;0;63;0;62;0
77;0.0;5.584386574074074;0;0;0;0;60;0;72;2
78;0.0;3.649513888888889;0;0;0;0;76;0;58;0
79;0.0;5.268715277777778;0;0;0;0;94;0;98;6
80;0.0;4.640902777777778;0;0;0;0;57;0;66;3
81;87.18333333333334;6.153564814814815;0;0;0;0;65;3;66;1
82;0.0;5.807546296296296;0;0;0;0;68;0;97;4
83;16.916666666666668;6.571122685185185;0;0;0;0;105;2;119;6
84;0.0;5.878483796296297;0;0;0;0;83;0;77;2
85;0.0;8.205827546296296;0;0;0;0;36;0;39;2
86;0.0;4.653252314814814;0;0;0;0;73;0;77;0
87;0.31666666666666665;4.855289351851852;0;0;0;0;51;0;59;0
88;0.0;1.8999421296296297;0;0;0;0;19;0;16;0
89;0.0;5.1474421296296295;0;0;0;0;51;0;62;0
90;0.0;3.3805266203703703;0;0;0;0;164;0;153;0
91;61.65;4.210908564814815;0;0;0;0;91;0;71;0
92;23.966666666666665;7.695856481481481;0;0;0;0;57;1;52;0
93;0.0;3.9084606481481483;0;0;0;0;58;0;56;0
94;19.783333333333335;7.109490740740741;0;0;0;0;57;1;54;0
95;85.96666666666667;6.5747685185185185;0;0;0;0;74;5;65;0
96;0.0;4.600416666666667;0;0;0;0;73;0;81;0
97;65.66666666666667;7.007395833333334;0;0;0;0;48;0;48;0
98;31.9;7.126469907407407;0;0;0;0;40;0;32;0
99;97.08333333333333;4.958015046296296;0;0;0;0;77;6;68;0
100;29.366666666666667;5.614884259259259;0;0;0;0;47;2;45;0
101;13.316666666666666;4.650063657407407;0;0;0;0;48;0;36;0
102;0.0;4.072193287037037;0;0;0;0;61;0;56;0
103;0.0;3.0766898148148147;0;0;0;0;70;0;63;0
104;0.0;4.900023148148148;0;0;0;0;41;0;32;0
105;209.41666666666666;7.7110763888888885;0;0;0;0;30;1;30;0
106;0.0;3.8317361111111112;0;0;0;0;65;0;56;0
107;0.0;4.738518518518519;0;0;0;0;42;0;44;0
108;71.53333333333333;6.566111111111111;0;0;0;0;97;3;91;2
109;92.8;4.326487268518519;0;0;0;0;38;1;43;0
110;40.31666666666667;5.0084837962962965;0;0;0;0;82;2;74;0
111;229.73333333333332;4.491423611111111;0;0;0;0;32;2;19;0
112;32.71666666666667;2.801886574074074;0;0;0;0;42;0;36;0
113;7.566666666666666;4.352268518518518;0;0;0;0;92;0;85;0
114;4.85;6.669994212962963;0;0;0;0;90;1;94;0
115;0.0;5.006956018518519;0;0;0;0;69;0;65;0
116;50.65;6.769618055555555;0;0;0;0;66;0;64;0
117;0.0;6.297581018518518;0;0;0;0;31;0;35;0
118;0.0;4.277199074074074;0;0;0;0;83;0;82;0
119;0.0;5.9406944444444445;0;0;0;0;24;0;18;0
120;0.0;3.5884953703703704;0;0;0;0;31;0;29;0
121;0.0;4.960972222222222;0;0;0;0;46;0;39;0
122;0.0;3.140162037037037;0;0;0;0;49;0;48;0
123;41.166666666666664;6.0937731481481485;0;0;0;0;61;0;53;0
124;84.46666666666667;5.436122685185185;0;0;0;0;67;2;52;0
