"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
66;568;954;279;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
67;589;781;561;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
68;654;395;477;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
69;535;305;282;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
70;593;0;395;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
71;406;1769;473;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
72;315;50;364;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
73;429;0;153;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
74;107;409;573;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
75;743;256;782;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
76;569;287;611;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
77;598;388;364;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
78;508;441;561;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
79;593;424;412;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
80;543;160;675;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
81;245;445;581;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
82;313;227;657;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
83;181;413;790;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
84;509;694;111;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
85;517;354;647;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
86;482;405;616;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
87;102;1573;714;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
88;582;156;429;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
89;260;383;393;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
90;443;483;584;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
91;489;511;765;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
92;425;0;558;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
93;933;446;27;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
94;550;375;735;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
95;556;229;248;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
96;573;305;576;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
97;14;244;908;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
98;739;997;686;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
99;641;704;652;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
100;111;799;186;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
101;638;613;170;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
102;713;1058;606;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
103;256;269;226;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
104;243;438;515;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
105;796;174;641;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
106;667;1018;320;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
107;507;185;508;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
108;512;283;114;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
109;336;132;635;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
110;828;281;380;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
111;654;675;427;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
112;469;855;819;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
113;600;550;294;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
114;561;357;557;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
115;726;642;605;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
116;587;404;433;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
117;440;430;156;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
118;749;341;655;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
119;569;1511;161;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
120;309;149;529;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
121;490;140;296;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
122;410;697;709;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
123;646;478;628;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
124;694;108;470;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
125;725;717;140;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
126;371;354;356;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
127;234;454;626;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
128;607;0;354;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
