"id";"Time intervals";"Total time"
58;"13129-26640  29209-29909  29925-30414  31701-31769  32413-32557  32739-32965  38753-38893  39161-39264  39428-40701  47692-50357  52997-53825  ";20147
59;"36405-36805  38875-39191  40863-41081  42871-43133  44085-45225  46273-46911  47568-48988  49424-49927  51122-51384  52983-53522  ";5698
60;"";0
61;"71791-73560  ";1769
62;"36537-36658  36863-37069  38427-38731  ";631
63;"30139-32253  32417-32624  34750-36037  44500-45303  45348-46715  47373-47513  49026-49643  49803-49883  50448-50466  51696-51859  52364-53029  53809-54740  54843-55015  55165-55541  56325-57274  57293-58251  58912-59112  59664-61788  62115-62145  62850-62972  63217-65575  66332-68442  68508-69177  72340-73977  74237-74356  ";20216
64;"79741-79760  80539-86399  ";5879
65;"";0
66;"54046-54585  70642-71445  72055-74066  74131-75023  75776-77526  ";5995
67;"41404-44252  44496-49191  51126-51181  51796-52482  55654-55679  56155-56604  57346-57365  58320-58649  58794-60762  61107-61971  62290-62632  63889-66333  67260-67643  67726-68856  69012-70318  ";17543
69;"";0
71;"";0
72;"";0
73;"";0
74;"35279-37957  38013-38889  39155-39178  39293-39432  39891-40006  ";3831
75;"29151-30608  30839-33285  34200-34387  34410-34443  35079-35288  35343-35914  36149-36781  39801-40817  41964-42313  42706-43767  44137-46156  47254-47597  47726-49172  49204-49975  49982-50059  62874-62976  65221-65237  65409-65527  66169-66189  66734-67302  67679-68103  ";13865
76;"35702-36319  45518-45902  46015-48083  48439-49476  50976-51877  52136-52807  53140-53664  57234-57314  61546-63701  63840-63908  64073-65008  66127-66229  66262-66589  66731-67124  67145-67177  70016-70639  71360-71382  72779-72825  73076-74419  ";12328
77;"35095-43810  ";8715
78;"31797-32602  33218-33273  33441-33812  33962-34201  34339-34450  34460-34919  35336-36000  36426-36785  36820-37383  37890-40086  42853-42876  ";5845
79;"29823-29867  30233-30316  30340-30511  30664-30691  30734-31041  31168-32034  32275-32594  32684-32942  33006-33841  33992-34247  34292-35111  35168-35353  35378-36965  37774-38457  39873-41108  41480-42114  42554-44706  45494-46370  47316-47833  48136-49508  50373-51085  53156-53253  53398-53509  55322-55344  55540-55723  55794-55817  ";14373
80;"32322-32414  32797-33574  34030-35617  36093-38591  41006-41282  41877-44377  44877-48388  49501-51261  51299-51395  51431-51699  ";13365
81;"32494-35400  35779-39168  42516-45276  46922-52807  53747-55811  ";17004
82;"40218-42988  43289-43823  45831-48553  49363-49705  ";6368
83;"35904-36067  36072-37810  37883-38737  39125-39242  39807-40051  40650-40666  41510-41790  43808-44334  44967-45389  45463-46204  46807-48321  49163-49395  49443-49560  50091-50611  51532-51693  ";7645
84;"";0
85;"78735-79039  ";304
86;"69589-69592  69643-69941  70642-71887  73171-73865  74249-75590  76204-76301  ";3678
87;"34478-38128  41843-43417  45638-51515  51623-51830  52739-52756  52793-53611  ";12143
88;"32797-32802  32854-36861  37544-37630  38257-39405  40065-40802  44253-46397  50007-50263  ";8383
89;"52267-53239  53256-54358  59689-61553  ";3938
90;"34437-34608  35224-35418  35727-36039  36046-36127  37164-38287  38518-38544  69879-70232  ";2260
91;"70464-71002  71129-72471  81435-86399  ";6844
92;"";0
93;"74921-76099  76942-77497  78065-79378  79662-81386  81753-83235  83785-86399  ";8866
94;"";0
95;"";0
96;"";0
97;"72531-74611  75444-76443  ";3079
98;"71607-72228  72618-74788  75211-76345  76592-76863  77057-78250  81688-86399  ";10100
99;"";0
100;"76487-79203  79287-79362  81059-82201  82257-84896  ";6572
101;"27910-29799  ";1889
102;"";0
103;"52417-53295  69234-69517  69763-69813  70672-72558  82574-83510  ";4033
104;"";0
105;"51549-52160  ";611
106;"";0
107;"";0
108;"74527-75198  75223-75345  76435-77170  77258-77506  77684-78160  78548-78743  78812-79387  79465-79588  80746-80945  81112-81503  83003-85117  85426-86399  ";6822
109;"68030-70639  70763-71044  74118-76332  76409-78379  79445-86399  ";14028
110;"79996-80466  82446-84990  ";3014
111;"70003-71548  71812-75884  77346-86399  ";14670
112;"67865-69010  69534-69651  69723-70343  72417-74171  74217-74491  75064-75412  81229-86399  ";9428
113;"72562-73291  73296-74718  75234-75335  76925-77786  78026-79674  80623-80990  81598-86399  ";9929
114;"";0
115;"73257-75396  75469-75974  78547-79649  80007-82136  82274-86399  ";10000
116;"";0
117;"";0
118;"";0
119;"";0
120;"";0
121;"74282-74799  76757-76771  ";531
122;"";0
123;"33753-35443  36340-37304  43379-44461  47029-47199  47869-48254  50064-50383  53247-54265  56141-59958  66030-67129  67926-68216  71269-71750  72361-72490  73676-73838  ";11606
124;"52482-52793  53680-55175  57153-57365  57819-57993  59205-59249  65706-66064  66598-66623  66889-67933  67998-70469  71295-71520  71689-71866  71930-73614  73826-74591  79815-81489  81560-84460  84520-84947  86576-86399  ";13809
125;"74733-74871  75066-75890  77462-77638  ";1138
126;"";0
127;"";0
128;"39688-39949  40498-41494  41978-42631  43235-43442  43473-44907  44912-45244  45922-46234  46478-46642  52512-53343  53389-53552  53721-54112  54557-54629  55077-55113  56391-57701  64219-65433  ";8376
129;"36101-36759  37051-37228  38368-38981  39468-39583  39933-40063  40123-40819  43995-46342  47453-47601  ";4884
130;"85828-86399  ";571
131;"";0
132;"";0
133;"34214-34318  34356-34674  34933-35049  36025-36641  37526-37526  41695-42486  49195-50250  50372-50697  50994-51258  ";3589
134;"32424-33189  35462-36768  37051-41663  42205-44143  44744-46490  46798-48325  48509-49624  49792-53447  53646-55535  61349-61474  61542-61920  62144-63038  ";19950
135;"";0
136;"";0
137;"";0
138;"";0
139;"";0
140;"71601-71615  71790-71871  72696-73248  74525-80976  81528-83128  84538-85061  ";9221
141;"";0
142;"";0
143;"";0
144;"";0
145;"";0
146;"";0
147;"";0
148;"72624-72672  ";48
149;"58030-58102  58317-58318  58409-58598  64287-64481  65160-65186  65613-65724  66031-66617  ";1179
150;"";0
151;"";0
152;"";0
153;"";0
154;"";0
155;"51090-51476  ";386
156;"32476-34886  35192-36776  38012-39665  42479-43818  45240-47172  47911-48936  49428-49900  50091-50990  54552-55106  55388-55394  56748-58038  68987-69338  69917-70257  70504-71418  71524-71774  72330-72335  72502-72597  74337-74514  78855-79044  79193-79287  81973-82077  82906-82929  ";15706
