"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
66;568;954;279;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
67;542;836;561;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
68;654;395;477;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
69;648;444;282;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
70;605;0;407;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
71;418;1776;473;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
72;317;0;325;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
73;249;0;490;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
74;107;409;573;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
75;131;265;782;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
76;569;217;713;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
77;610;479;521;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
78;508;394;436;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
79;593;424;412;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
80;543;160;675;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
81;245;445;581;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
82;394;272;657;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
83;555;398;181;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
84;547;553;111;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
85;517;351;659;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
86;221;0;657;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
87;102;1573;714;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
88;582;156;429;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
89;355;205;393;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
90;431;481;584;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
91;489;442;695;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
92;425;0;558;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
93;933;446;27;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
94;550;264;535;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
95;212;401;326;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
96;573;305;576;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
97;14;244;908;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
98;739;810;445;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
100;396;872;186;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
99;641;704;652;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
101;638;613;170;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
102;304;900;120;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
103;256;269;226;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
104;368;425;527;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
105;288;260;304;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
106;566;889;554;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
107;507;108;444;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
108;512;283;114;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
109;336;297;578;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
110;426;299;87;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
111;654;625;665;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
112;661;695;796;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
113;682;338;116;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
114;152;279;375;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
115;726;658;571;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
116;517;313;591;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
117;524;428;312;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
118;379;226;246;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
119;569;1511;161;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
120;621;137;529;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
121;717;244;733;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
122;506;647;709;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
123;646;328;631;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
124;694;108;470;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
125;725;625;664;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
126;371;354;356;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
127;649;674;124;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
128;564;478;354;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
129;517;233;160;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
130;523;159;83;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
131;537;291;575;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
132;253;363;317;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
133;363;400;533;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
134;675;609;617;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
135;775;405;364;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
136;733;317;536;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
137;629;1177;12;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
138;676;98;684;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
139;287;759;619;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
140;625;271;663;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
141;67;390;578;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
142;685;123;528;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
143;336;804;548;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
144;582;0;597;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
145;448;635;578;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
146;338;0;837;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
147;547;234;652;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
148;660;229;237;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
149;667;474;507;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
150;249;842;448;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
151;731;796;445;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
152;547;415;448;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
153;1042;580;615;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
154;644;635;637;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
155;548;609;512;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
156;136;216;317;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
157;590;412;848;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
158;588;1728;597;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
159;622;299;763;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
160;506;203;465;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
161;154;498;405;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
162;665;157;751;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
163;720;555;82;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
164;591;275;157;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
165;726;427;299;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
166;563;215;118;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
167;432;255;320;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
168;268;455;38;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
169;308;314;213;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
170;696;442;633;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
171;535;536;490;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
172;638;438;195;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
173;233;251;529;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
174;216;0;194;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
175;472;1219;815;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
176;568;799;451;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
177;639;358;597;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
178;277;381;169;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
179;450;306;173;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
180;587;541;522;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
181;735;215;522;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
182;144;994;535;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
183;99;424;237;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
184;601;428;401;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
185;654;775;366;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
186;620;393;559;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
188;355;572;458;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
187;754;1474;381;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
189;670;349;342;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
190;762;0;527;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
191;698;285;368;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
192;683;387;656;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
193;571;218;338;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
194;568;182;523;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
195;640;311;446;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
196;364;446;677;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
198;63;492;315;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
197;352;795;638;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
199;556;999;600;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
200;345;346;136;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
201;486;227;425;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
202;513;250;700;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
203;321;426;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
204;360;687;426;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
205;605;355;392;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
207;485;559;677;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
206;267;436;762;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
209;294;1325;538;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
208;592;330;385;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
210;620;345;471;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
211;579;756;479;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
212;744;1406;605;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
213;599;730;592;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
214;594;1333;364;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
215;437;539;653;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
216;361;1257;619;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
217;449;340;64;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
218;655;392;304;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
219;551;180;629;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
220;622;454;661;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
221;498;60;543;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
222;328;503;723;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
223;362;556;531;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
224;706;1043;501;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
225;722;254;482;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
226;392;352;277;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
227;724;269;593;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
228;124;595;694;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
229;623;293;148;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
230;663;448;328;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
231;538;270;660;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
232;592;844;125;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
233;459;282;473;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
234;603;248;464;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
235;504;604;467;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
236;276;364;370;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
237;302;0;529;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
238;394;844;102;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
239;241;346;501;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
240;400;125;192;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
241;640;975;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
242;509;1227;560;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
243;275;183;220;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
244;193;1277;588;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
245;35;924;699;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
246;728;764;477;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
247;368;473;534;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
248;485;928;696;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
249;514;2824;761;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
250;696;615;563;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
251;122;0;405;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
252;601;680;275;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
253;506;475;441;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
254;556;217;634;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
255;328;717;17;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
256;523;320;484;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
257;570;422;607;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
258;537;315;668;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
259;449;498;629;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
