"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
66;696;883;743;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
67;324;650;559;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
68;616;305;615;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
69;648;506;629;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
70;605;82;244;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
71;418;1386;346;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
72;344;0;341;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
73;541;0;418;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
74;107;402;436;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
75;584;309;413;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
76;569;208;409;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
77;610;94;624;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
78;482;442;453;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
79;599;398;412;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
80;543;160;675;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
81;245;382;955;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
82;742;251;590;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
83;522;289;617;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
84;192;605;111;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
85;473;265;512;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
86;482;243;657;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
87;745;1428;714;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
88;580;257;482;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
89;529;360;737;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
90;443;483;584;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
91;489;442;695;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
92;50;0;208;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
93;933;354;1199;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
94;686;203;535;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
95;556;104;607;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
96;452;343;786;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
97;553;293;908;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
98;739;859;635;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
99;641;652;554;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
100;697;771;186;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
101;201;547;484;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
102;421;751;697;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
103;298;0;226;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
104;338;406;331;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
105;385;0;289;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
106;566;673;312;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
107;701;170;658;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
108;178;234;615;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
109;336;178;766;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
110;229;206;440;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
111;654;625;665;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
112;469;900;796;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
113;600;348;670;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
114;133;254;557;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
115;726;528;580;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
116;602;280;169;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
117;440;299;559;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
118;749;268;364;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
119;569;1438;388;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
120;393;269;149;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
121;490;94;733;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
122;585;549;709;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
123;646;328;631;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
124;694;87;693;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
125;725;466;567;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
126;181;320;356;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
127;649;513;638;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
128;607;0;354;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
129;642;235;300;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
130;454;0;599;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
131;886;253;681;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
132;596;251;633;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
133;586;550;698;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
134;327;637;492;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
135;339;284;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
136;400;462;465;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
137;478;1273;626;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
138;681;50;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
139;376;602;536;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
140;517;228;274;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
141;516;315;578;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
142;642;198;194;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
143;336;679;472;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
144;582;255;634;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
145;85;490;724;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
146;465;0;964;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
147;520;339;453;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
148;660;165;533;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
149;313;352;521;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
150;202;740;448;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
151;496;649;585;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
152;712;347;493;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
153;1042;308;370;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
154;649;543;578;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
155;464;529;512;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
156;753;156;614;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
157;471;446;848;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
158;228;1242;597;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
159;532;463;768;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
160;496;0;494;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
161;154;522;652;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
162;550;130;751;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
163;612;444;591;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
164;730;272;589;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
165;497;690;741;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
166;503;328;118;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
167;493;123;632;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
168;675;675;38;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
169;555;258;600;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
170;319;460;629;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
171;571;452;543;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
