simulation time (min);1440.0;only events that occure within the simulation time are considered (events after that time are ignored)
manager id;event;time;result;involved station
1;EventManagerAddBikesToStation;7251;SUCCESS;50
1;EventManagerAddBikesToStation;7359;SUCCESS;129
1;EventManagerAddBikesToStation;7380;SUCCESS;50
1;EventManagerAddBikesToStation;7402;SUCCESS;82
1;EventManagerAddBikesToStation;7406;SUCCESS;50
1;EventManagerAddBikesToStation;7427;SUCCESS;129
1;EventManagerAddBikesToStation;7428;SUCCESS;129
1;EventManagerAddBikesToStation;7432;SUCCESS;82
1;EventManagerAddBikesToStation;7449;SUCCESS;82
1;EventManagerAddBikesToStation;7572;SUCCESS;82
1;EventManagerAddBikesToStation;7589;SUCCESS;82
1;EventManagerAddBikesToStation;7590;SUCCESS;82
1;EventManagerAddBikesToStation;7606;SUCCESS;82
1;EventManagerAddBikesToStation;7612;SUCCESS;129
1;EventManagerAddBikesToStation;7616;SUCCESS;82
1;EventManagerAddBikesToStation;7623;SUCCESS;82
1;EventManagerAddBikesToStation;7660;SUCCESS;129
1;EventManagerAddBikesToStation;7713;SUCCESS;50
1;EventManagerAddBikesToStation;7740;SUCCESS;50
1;EventManagerAddBikesToStation;7756;SUCCESS;129
1;EventManagerAddBikesToStation;7773;SUCCESS;129
1;EventManagerAddBikesToStation;7862;SUCCESS;50
1;EventManagerAddBikesToStation;8335;SUCCESS;129
1;EventManagerAddBikesToStation;8340;SUCCESS;129
1;EventManagerAddBikesToStation;8459;SUCCESS;43
1;EventManagerAddBikesToStation;8535;SUCCESS;129
1;EventManagerAddBikesToStation;8586;SUCCESS;43
1;EventManagerAddBikesToStation;8607;SUCCESS;129
1;EventManagerAddBikesToStation;8618;SUCCESS;43
1;EventManagerAddBikesToStation;8655;SUCCESS;129
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;93
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;108
1;EventManagerTakeBikesFromStation;9000;SUCCESS;110
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;167
