simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
1;0.0;7.257916666666667;0;0;0;0;123;0;124;6
2;0.0;7.193032407407407;0;0;0;0;44;0;53;7
3;95.8;4.838842592592592;0;0;0;0;102;1;102;0
4;0.0;3.4854629629629628;0;0;0;0;57;0;44;0
5;128.5;9.05644675925926;0;0;0;0;44;0;37;0
6;0.0;4.88115162037037;0;0;0;0;114;0;120;0
7;22.616666666666667;7.637719907407408;0;0;0;0;76;1;70;0
8;0.0;4.558721064814815;0;0;0;0;58;0;60;0
9;171.61666666666667;7.0860763888888885;0;0;0;0;130;4;137;2
10;5.233333333333333;6.431817129629629;0;0;0;0;66;2;78;0
11;213.98333333333332;6.975671296296296;0;0;0;0;45;3;46;0
12;152.73333333333332;6.886678240740741;0;0;0;0;78;2;67;0
13;0.0;3.6097685185185187;0;0;0;0;98;0;97;0
14;0.0;4.326157407407408;0;0;0;0;82;0;77;0
15;0.0;4.5511689814814815;0;0;0;0;37;0;33;0
16;0.0;3.4523206018518517;0;0;0;0;72;0;69;0
17;26.583333333333332;4.041001157407408;0;0;0;0;79;1;73;0
18;0.0;4.126863425925926;0;0;0;0;80;0;71;0
19;0.0;4.292731481481481;0;0;0;0;143;0;130;0
20;51.03333333333333;6.808171296296297;0;0;0;0;39;5;44;0
21;184.5;9.373530092592592;0;0;0;0;89;5;81;0
25;0.0;4.1363310185185185;0;0;0;0;66;0;63;0
26;0.0;3.692175925925926;0;0;0;0;86;0;97;0
27;38.983333333333334;8.56261574074074;0;0;0;0;57;0;52;0
28;602.7666666666667;9.793009259259259;0;0;0;0;16;21;12;0
29;399.81666666666666;9.918923611111111;0;0;0;0;20;19;19;0
30;39.916666666666664;4.504016203703704;0;0;0;0;81;0;85;0
31;13.65;6.9958680555555555;0;0;0;0;111;1;98;0
32;31.2;5.471377314814815;0;0;0;0;46;1;44;0
33;38.81666666666667;6.0816435185185185;0;0;0;0;58;3;64;0
34;0.0;5.492783564814815;0;0;0;0;38;0;30;0
35;317.2;6.456672453703704;0;0;0;0;69;10;60;0
36;301.8833333333333;4.42193287037037;0;0;0;0;47;6;39;0
38;19.15;6.786736111111111;0;0;0;0;106;1;108;2
39;60.88333333333333;6.895428240740741;0;0;0;0;48;5;40;0
40;4.733333333333333;6.107210648148148;0;0;0;0;52;0;51;0
41;123.78333333333333;4.730324074074074;0;0;0;0;102;8;114;0
42;153.83333333333334;5.6056944444444445;0;0;0;0;92;12;85;0
43;21.55;6.885827546296296;0;0;0;0;170;2;158;0
44;153.31666666666666;6.345115740740741;0;0;0;0;65;2;63;0
45;0.0;3.8847395833333334;0;0;0;0;135;0;133;2
46;0.0;7.085462962962963;0;0;0;0;104;0;101;3
47;237.11666666666667;6.563668981481482;0;0;0;0;80;4;64;0
48;20.533333333333335;6.125538194444444;0;0;0;0;88;4;87;0
49;0.0;3.4216608796296297;0;0;0;0;95;0;111;3
50;189.43333333333334;8.78318287037037;0;0;0;0;58;17;49;0
51;171.96666666666667;6.660185185185185;0;0;0;0;52;13;60;4
52;93.75;4.673530092592593;0;0;0;0;97;7;91;0
53;68.11666666666666;6.618553240740741;0;0;0;0;68;5;83;1
54;0.0;4.852824074074074;0;0;0;0;80;0;88;0
55;0.0;5.168778935185185;0;0;0;0;73;0;85;0
56;0.0;6.153738425925926;0;0;0;0;87;0;91;0
57;42.28333333333333;5.831053240740741;0;0;0;0;155;1;173;2
58;13.416666666666666;5.456579861111111;0;0;0;0;144;0;137;3
59;66.78333333333333;6.4145717592592595;0;0;0;0;129;0;117;2
60;0.0;8.028125;0;0;0;0;62;0;68;1
61;462.65;8.603761574074074;0;0;0;0;25;0;22;0
62;45.166666666666664;4.747071759259259;0;0;0;0;114;3;120;0
63;105.15;5.6563136574074075;0;0;0;0;65;4;65;0
64;0.0;4.448715277777778;0;0;0;0;82;0;106;2
65;0.0;6.074293981481482;0;0;0;0;77;0;88;0
66;0.0;4.216886574074074;0;0;0;0;46;0;46;0
67;0.0;3.066122685185185;0;0;0;0;60;0;66;0
69;0.0;3.0928703703703704;0;0;0;0;39;0;48;0
71;46.25;5.156331018518519;0;0;0;0;71;2;86;0
72;45.483333333333334;3.697795138888889;0;0;0;0;38;0;39;0
73;0.0;5.295862268518518;0;0;0;0;70;0;83;0
74;32.3;4.810451388888889;0;0;0;0;102;0;85;0
75;0.0;4.132824074074074;0;0;0;0;76;0;77;0
76;0.0;5.580497685185185;0;0;0;0;63;0;63;0
77;0.0;5.738425925925926;0;0;0;0;60;0;72;3
78;0.0;3.649513888888889;0;0;0;0;76;0;58;0
79;23.016666666666666;5.418414351851852;0;0;0;0;95;1;99;6
80;0.0;5.0675;0;0;0;0;58;0;67;4
81;87.18333333333334;4.955706018518518;0;0;0;0;68;3;66;0
82;0.0;5.609733796296296;0;0;0;0;68;0;97;3
83;16.916666666666668;6.6846875;0;0;0;0;105;2;119;7
84;0.0;6.31125;0;0;0;0;83;0;78;2
85;0.0;8.20490162037037;0;0;0;0;36;0;39;2
86;0.0;4.31375;0;0;0;0;75;0;78;0
87;87.95;5.157268518518518;0;0;0;0;51;3;59;0
88;0.0;1.8999421296296297;0;0;0;0;19;0;16;0
89;0.0;4.941030092592593;0;0;0;0;51;0;62;0
90;0.0;3.3805266203703703;0;0;0;0;164;0;153;0
91;123.75;4.593859953703704;0;0;0;0;91;4;71;0
92;16.266666666666666;7.52212962962963;0;0;0;0;58;0;53;0
93;0.0;3.9483912037037037;0;0;0;0;59;0;56;1
94;0.0;5.750694444444444;0;0;0;0;58;0;57;0
95;85.96666666666667;6.573599537037037;0;0;0;0;74;5;65;0
96;0.0;4.703599537037037;0;0;0;0;73;0;81;1
97;192.3;7.432685185185186;0;0;0;0;49;9;48;0
98;83.88333333333334;8.20800925925926;0;0;0;0;42;6;32;0
99;87.51666666666667;5.068871527777778;0;0;0;0;78;5;69;0
100;220.93333333333334;6.380706018518518;0;0;0;0;47;6;45;0
101;13.316666666666666;4.645399305555555;0;0;0;0;48;0;36;0
102;0.0;3.92703125;0;0;0;0;61;0;57;0
103;0.0;3.1991319444444444;0;0;0;0;71;0;64;0
104;0.0;4.900023148148148;0;0;0;0;41;0;32;0
105;209.41666666666666;7.789398148148148;0;0;0;0;30;1;31;0
106;0.0;3.835821759259259;0;0;0;0;65;0;58;0
107;0.0;4.741828703703704;0;0;0;0;42;0;44;0
108;41.833333333333336;6.3180555555555555;0;0;0;0;99;1;93;3
109;150.65;4.835271990740741;0;0;0;0;40;6;44;0
110;117.71666666666667;6.093263888888889;0;0;0;0;85;7;75;0
111;301.46666666666664;4.767523148148148;0;0;0;0;34;3;20;0
112;70.2;3.545451388888889;0;0;0;0;44;1;36;0
113;19.85;5.594618055555555;0;0;0;0;99;4;86;0
114;4.85;6.669994212962963;0;0;0;0;90;1;94;0
115;0.0;4.631712962962963;0;0;0;0;69;0;66;0
116;108.78333333333333;6.817881944444444;0;0;0;0;65;1;63;0
117;0.0;5.950138888888889;0;0;0;0;32;0;35;0
118;0.0;4.272094907407407;0;0;0;0;83;0;81;0
119;0.0;5.9406944444444445;0;0;0;0;24;0;18;0
120;0.0;3.5884953703703704;0;0;0;0;31;0;29;0
121;0.0;4.522395833333333;0;0;0;0;46;0;40;0
122;0.0;4.102592592592592;0;0;0;0;51;0;48;0
123;0.0;5.859305555555555;0;0;0;0;61;0;54;0
124;36.416666666666664;5.527847222222222;0;0;0;0;69;0;54;0
125;0.0;2.6929166666666666;0;0;0;0;53;0;45;0
126;0.0;5.178159722222222;0;0;0;0;67;0;61;4
127;0.0;4.408298611111111;0;0;0;0;42;0;54;4
128;0.0;5.400196759259259;0;0;0;0;106;0;109;17
129;0.0;5.462407407407407;0;0;0;0;161;0;176;10
130;32.833333333333336;4.128078703703704;0;0;0;0;69;7;66;2
131;0.0;5.10150462962963;0;0;0;0;76;0;76;0
132;25.616666666666667;3.991203703703704;0;0;0;0;79;2;103;0
133;56.03333333333333;5.290243055555556;0;0;0;0;93;3;105;0
134;207.76666666666668;6.271429398148148;0;0;0;0;84;21;81;0
135;0.0;4.41837962962963;0;0;0;0;130;0;172;2
