"id";"Time intervals";"Total time"
160;"84720-84811  85067-86197  86368-86399  ";1252
161;"41768-42000  42839-43063  43400-43832  ";888
162;"64490-65503  65756-65938  66341-66538  66905-68746  68874-69621  70079-70685  73583-75390  86077-86399  ";6715
163;"38940-39246  ";306
164;"73018-73889  74020-74266  ";1117
165;"67223-67447  67465-67505  67772-68191  75119-75220  78135-86399  ";9048
166;"76545-77038  79157-79526  ";862
167;"77530-78749  81989-82118  82137-83649  83917-86399  ";5342
168;"";0
169;"";0
170;"";0
171;"";0
172;"39532-40744  41420-41630  73487-74210  75570-75811  76029-76236  ";2593
173;"";0
174;"33664-34661  36754-39876  42394-44666  ";6391
175;"37829-38487  38756-38901  39063-39063  39132-39861  43802-43831  ";1561
