simulatiuon time (min);1440.0;only events that occure within the simulation time are considered (users not finishing up to this time are ignored)
id;finished in simulationtime;appearance time (sec form start);get bike time (sec from start);return bike time (sec from start);at final destination (sec from start);total time (min);additional time used over best aproximate time (min);exit reason;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns;Time waited to retry
45;yes;417;417;689;994;9.616666666666667;6.166666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
46;yes;425;966;1416;1981;25.933333333333334;16.683333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
47;yes;434;717;1818;2235;30.016666666666666;11.783333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
48;yes;440;440;1178;1524;18.066666666666666;8.1;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
49;yes;443;974;1611;1925;24.7;14.283333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
50;yes;445;904;1882;2152;28.45;11.716666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
51;yes;469;1015;1866;2339;31.166666666666668;20.266666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
52;yes;478;1097;1515;1690;20.2;14.566666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
53;yes;484;484;2193;2922;40.63333333333333;11.366666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
54;yes;494;1113;1447;1622;18.8;14.566666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
55;yes;502;949;2521;2832;38.833333333333336;11.6;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
56;yes;511;917;1572;2077;26.1;17.5;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
57;yes;518;837;1256;1602;18.066666666666666;12.466666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
58;yes;521;521;1204;1749;20.466666666666665;7.183333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
59;yes;522;823;1469;1469;15.783333333333333;4.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
60;yes;522;1006;1904;2187;27.75;15.8;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
61;yes;536;908;2066;2066;25.5;5.366666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
62;yes;538;898;1537;1845;21.783333333333335;14.283333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
63;yes;539;822;1633;1633;18.233333333333334;3.8;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
64;yes;544;846;2164;2699;35.916666666666664;12.766666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
65;yes;551;551;1055;1301;12.5;4.066666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
66;yes;552;997;1666;2026;24.566666666666666;13.966666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
67;yes;557;1026;1384;1852;21.583333333333332;18.35;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
68;yes;580;580;1882;2316;28.933333333333334;8.4;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
69;yes;581;1073;1619;2136;25.916666666666668;14.733333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
70;yes;582;1029;2233;2233;27.516666666666666;5.983333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
71;yes;595;595;1400;1945;22.5;7.65;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
72;yes;603;603;1397;1650;17.45;4.083333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
73;yes;611;1056;2211;2494;31.383333333333333;12.033333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
74;yes;614;614;806;1206;9.866666666666667;6.166666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
75;yes;620;1112;1863;1863;20.716666666666665;10.3;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
76;yes;621;993;1269;1667;17.433333333333334;12.7;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
77;yes;622;1147;1641;2017;23.25;14.816666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
78;yes;654;1167;1572;2063;23.483333333333334;15.233333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
79;yes;656;1330;1595;2117;24.35;18.733333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
80;yes;664;966;1740;2192;25.466666666666665;13.066666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
81;yes;666;1014;1768;1953;21.45;11.033333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
82;yes;675;675;1169;1169;8.233333333333333;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
83;yes;676;1030;2367;2367;28.183333333333334;6.333333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
84;yes;687;941;2273;2738;34.18333333333333;14.85;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
85;yes;693;1299;1867;1867;19.566666666666666;10.233333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
86;yes;700;1147;1518;1788;18.133333333333333;10.066666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
87;yes;702;1278;1811;2328;27.1;12.916666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
88;yes;704;1177;2076;2611;31.783333333333335;17.483333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
89;yes;716;1159;1422;1912;19.933333333333334;15.783333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
90;yes;719;1134;2391;2391;27.866666666666667;6.8;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
91;yes;726;1172;1688;2127;23.35;16.6;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
92;yes;728;728;1055;1303;9.583333333333334;6.2;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
93;yes;748;1194;2090;2558;30.166666666666668;15.916666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
94;yes;748;748;1720;2066;21.966666666666665;4.916666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
95;yes;749;1109;2087;2087;22.3;6.75;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
96;yes;750;1032;2585;2585;30.583333333333332;4.033333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
97;yes;763;763;1506;1681;15.3;2.566666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
98;yes;769;1088;1805;2151;23.033333333333335;15.633333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
99;yes;770;1130;2038;2038;21.133333333333333;6.283333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
100;yes;779;1199;1809;2096;21.95;14.766666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
101;yes;788;788;1158;1623;13.916666666666666;9.483333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
102;yes;799;1341;1682;2067;21.133333333333333;16.166666666666668;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
103;yes;800;1342;2194;2194;23.233333333333334;10.283333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
104;yes;803;1251;3264;3471;44.46666666666667;9.35;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
105;yes;806;1285;1803;2249;24.05;19.116666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
106;yes;811;811;1588;2275;24.4;4.716666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
107;yes;820;1182;1742;2264;24.066666666666666;14.483333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
108;yes;827;1146;1644;1819;16.533333333333335;8.866666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
109;yes;830;1355;2117;2117;21.45;7.033333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
110;yes;831;998;1474;1756;15.416666666666666;8.533333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
111;yes;835;1117;4964;5335;75.0;13.2;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
112;yes;851;1212;2011;2011;19.333333333333332;5.783333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
113;yes;858;1273;1910;2432;26.233333333333334;17.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
114;yes;861;861;1778;2049;19.8;4.683333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
115;yes;865;865;1205;1750;14.75;8.05;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
116;yes;878;1548;2139;2139;21.016666666666666;9.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
117;yes;895;895;1142;1142;4.116666666666666;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
118;yes;898;1213;2037;2479;26.35;16.083333333333332;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
119;yes;906;1073;2500;3048;35.7;11.65;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
120;yes;913;1302;2555;2757;30.733333333333334;11.016666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
121;yes;919;1277;2070;2416;24.95;11.8;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
122;yes;922;1434;5297;5605;78.05;13.7;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
123;yes;924;1436;2026;2499;26.25;18.666666666666668;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
124;yes;927;927;1352;1874;15.783333333333333;10.066666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
125;yes;927;1287;1722;2168;20.683333333333334;12.966666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
126;yes;933;1383;1966;2452;25.316666666666666;16.483333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
127;yes;945;1199;2281;2281;22.266666666666666;4.783333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
128;yes;947;947;1199;1690;12.383333333333333;6.833333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
129;yes;951;1316;1874;2439;24.8;20.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
130;yes;963;1435;1868;2115;19.2;14.566666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
131;yes;974;1417;2242;2851;31.283333333333335;19.533333333333335;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
132;yes;986;986;1478;1866;14.666666666666666;5.75;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
133;yes;992;1462;1641;1975;16.383333333333333;15.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
134;yes;1013;1554;2189;2374;22.683333333333334;11.483333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
135;yes;1017;1350;2089;2654;27.283333333333335;14.166666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
136;yes;1029;1221;1682;1682;10.883333333333333;3.95;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
137;yes;1034;1455;1779;2383;22.483333333333334;21.666666666666668;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
138;yes;1041;1609;1698;1698;10.95;6.733333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
139;yes;1055;1535;1678;1678;10.383333333333333;8.916666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
140;yes;1061;1454;1685;2083;17.033333333333335;15.233333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
141;yes;1062;1422;1761;2150;18.133333333333333;14.466666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
142;yes;1071;1491;2001;2440;22.816666666666666;11.783333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
143;yes;1075;1421;1914;2222;19.116666666666667;13.6;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
144;yes;1075;1440;1737;2250;19.583333333333332;19.5;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
145;yes;1075;1467;3855;4247;52.86666666666667;13.283333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
146;yes;1076;1076;2352;2352;21.266666666666666;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
147;yes;1081;1593;2436;2844;29.383333333333333;15.5;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
148;yes;1082;1082;1875;2152;17.833333333333332;3.6;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
149;yes;1092;1472;2606;2857;29.416666666666668;12.316666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
150;yes;1097;1622;2480;2966;31.15;18.266666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
151;yes;1099;1579;2516;2824;28.75;14.183333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
152;yes;1111;1464;2226;2602;24.85;12.116666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
153;yes;1116;1665;2625;2625;25.15;10.183333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
154;yes;1129;1544;2230;2543;23.566666666666666;12.316666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
155;yes;1155;1701;2607;2978;30.383333333333333;16.15;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
156;yes;1162;1162;1842;2220;17.633333333333333;4.45;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
157;yes;1171;1476;1753;1929;12.633333333333333;9.05;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
158;yes;1175;1618;2498;2498;22.05;11.633333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
159;yes;1189;1818;2136;2423;20.566666666666666;13.516666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
160;yes;1190;1190;1793;2298;18.466666666666665;9.383333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
161;yes;1193;1749;2274;2667;24.566666666666666;14.733333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
162;yes;1199;1199;2077;2324;18.75;3.566666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
163;yes;1201;1558;2100;2413;20.2;10.733333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
164;yes;1203;1203;1592;1963;12.666666666666666;6.65;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
165;yes;1214;1506;1839;1839;10.416666666666666;2.466666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
166;yes;1232;1516;2860;3171;32.31666666666667;9.866666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
167;yes;1232;1578;2346;2603;22.85;10.883333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
168;yes;1240;1240;1741;1741;8.35;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
169;yes;1244;1244;1878;1878;10.566666666666666;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
170;yes;1250;1648;2573;3002;29.2;14.7;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
171;yes;1254;1734;2090;2576;22.033333333333335;14.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
172;yes;1257;1590;2995;3507;37.5;18.466666666666665;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
173;yes;1259;1865;2427;2816;25.95;17.75;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
174;yes;1265;1265;1371;1888;10.383333333333333;6.2;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
175;yes;1308;1714;3126;3126;30.3;9.766666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
176;yes;1320;1602;2293;2599;21.316666666666666;9.033333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
177;yes;1321;1469;2028;2399;17.966666666666665;8.166666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
178;yes;1324;1324;1907;2416;18.2;8.5;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
179;yes;1333;1333;1705;1962;10.483333333333333;4.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
180;yes;1339;1648;1857;2362;17.05;12.666666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
181;yes;1345;1868;2675;2932;26.45;13.4;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
182;yes;1349;1349;1779;1779;7.166666666666667;0.0;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
183;yes;1349;1349;1699;1971;10.366666666666667;3.433333333333333;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
184;yes;1359;1716;2712;3221;31.033333333333335;12.583333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
185;yes;1368;1677;2041;2387;16.983333333333334;11.866666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
186;yes;1379;1555;2542;2542;19.383333333333333;3.7333333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
187;yes;1380;1380;2850;3150;29.5;4.45;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
188;yes;1387;1387;1824;1998;10.183333333333334;4.25;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
189;yes;1393;1773;2202;2431;17.3;13.183333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
190;yes;1402;1402;2034;2473;17.85;8.5;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
191;yes;1409;1769;2284;2781;22.866666666666667;15.183333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
192;yes;1410;2002;2451;2859;24.15;15.266666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
193;yes;1411;1679;2254;2569;19.3;10.75;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
194;yes;1414;1414;2570;2823;23.483333333333334;4.016666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
195;yes;1415;1622;2087;2394;16.316666666666666;8.516666666666667;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
196;yes;1416;1416;2224;2640;20.4;8.666666666666666;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
197;yes;1416;1416;1794;2291;14.583333333333334;9.583333333333334;EXIT_AFTER_REACHING_DESTINATION;0;0;0;0;1;0;1;0;0
